Symbol,Name,Dividend Yield,AUM ,Price Decay
SOXY,YieldMax® Target 12™ Semiconductor Option Income ETF,12.00%,63M,NO
IWMY,Defiance R2000 Enhanced Options & 0DTE Income ETF,30.0%,95M,YES
QQQY,Definance Nasdaq 100 Enhanced Options & 0DTE Income ETF,30.0%,187M,YES
SPYI,NEOS S&P 500 High Income ETF,12.0%,11680M,NO
QQQI,NEOS Nasdaq 100 High Income ETF,14.0%,14100M,NO
BTCI,NEOS Bitcoin High Income ETF,26.7%,1280M,YES
CSHI,NEOS Enhanced Income 1-3 Month T-Bill ETF,4.7%,1740M,NO
QQQH,NEOS Nasdaq 100 Hedged Equity Income ETF,9.2%,378M,NO
IWMI,NEOS Russell 2000 High Income ETF,14.4%,1220M,YES
IYRI,NEOS Real Estate High Income ETF,10.9%,312M,YES
IAUI,NEOS Gold High Income ETF,11.8%,583M,NO
BNDI,NEOS Enhanced Income Aggregate Bond ETF,5.7%,192M,YES
SPYH,NEOS S&P 500 Hedged Equity Income ETF,7.9%,43M,NO
NIHI,NEOS MSCI EAFE High Income ETF,9.9%,197M,NO
MLPI,MLP & Energy Infrastructure High Income ETF,15%,934M,NO
XSPI,NEOS Boosted S&P 500 High Income ETF,17.00%,113M,NO
XQQI,NEOS Boosted Nasdaq-100 High Income ETF,21.00%,314M,NO
XBCI,NEOS Boosted Bitcoin High Income ETF,41.00%,158M,YES
DIVO,Amplify CWP Enhanced Dividend Income ETF,4.80%,7910M,NO
YYY,Amplify High Income ETF,12.20%,735M,YES
IDVO,Amplify CWP International Enhanced Dividend Income ETF,6.00%,1430M,NO
QDVO,Amplify CWP Growth & Income ETF,10.00%,744M,NO
GPIX,Goldman Sachs S&P 500 Premium Income ETF,7.90%,5500M,NO
DGRW,WisdomTree U.S. Quality Dividend Growth Fund,1.50%,17720M,NO
SPHD,Invesco S&P 500 High Dividend Low Volatility ETF,3.60%,3429M,NO
COWS,Amplify Cash Flow Dividend Leaders ETF,3.10%,42M,NO
BITY,Amplify Bitcoin 2% Monthly Option Income ETF,24.00%,12M,YES
